hemi,GA,nodes,tets,qbar,qmax
left,22.71,69039,381513,0.1289,0.5331
left,21.43,55722,306571,0.1286,0.5211
left,21.57,63256,348971,0.1290,0.4921
left,21.86,62913,346930,0.1289,0.5005
left,21.86,59174,326083,0.1289,0.4621
left,22.29,72958,403305,0.1284,0.4995
left,22.57,66814,368871,0.1286,0.4986
left,22.57,68812,380226,0.1291,0.4788
left,22.71,68118,376210,0.1292,0.4986
left,22.86,65016,359318,0.1280,0.4897
left,23.14,69312,382940,0.1292,0.5080
left,23.29,80471,445343,0.1280,0.4908
left,23.43,85864,477230,0.1283,0.4657
left,23.43,73920,409418,0.1294,0.4798
left,23.57,93707,520188,0.1285,0.4871
left,23.71,79708,442437,0.1286,0.4996
left,23.71,96360,536144,0.1290,0.5149
left,24.00,93175,518632,0.1290,0.4702
left,24.14,86878,481375,0.1286,0.5127
left,24.14,90045,500056,0.1286,0.4948
left,24.29,94143,524183,0.1287,0.5146
left,24.29,92818,516219,0.1284,0.5023
left,24.29,90278,501706,0.1286,0.4622
left,24.43,96464,536509,0.1283,0.4636
left,24.43,99136,551028,0.1281,0.5195
left,24.43,97933,545071,0.1280,0.5450
left,24.57,91291,505434,0.1290,0.5026
left,24.57,112742,629650,0.1290,0.4781
left,24.57,97370,541146,0.1284,0.4829
left,24.71,91619,508009,0.1289,0.4821
left,24.71,97787,543209,0.1286,0.4782
left,24.71,100190,558455,0.1287,0.5178
left,24.71,102198,568653,0.1288,0.5030
left,24.71,109730,610981,0.1284,0.4816
left,25.14,94819,526768,0.1284,0.4791
left,25.14,111961,623493,0.1291,0.4987
left,25.29,112826,628840,0.1283,0.5074
left,25.43,111273,618886,0.1285,0.5196
left,25.43,100454,558897,0.1287,0.4803
left,25.43,114633,639086,0.1280,0.4923
left,25.57,120457,671095,0.1285,0.5105
left,25.71,97656,543290,0.1287,0.5281
left,25.71,116633,649886,0.1287,0.4689
left,25.71,123894,689815,0.1288,0.4928
left,25.86,116356,647711,0.1289,0.5209
left,25.86,119643,665289,0.1286,0.4781
left,25.86,104987,583989,0.1287,0.5065
left,25.86,116104,644148,0.1286,0.4736
left,25.86,119376,663229,0.1280,0.5158
left,25.86,110357,613203,0.1285,0.5242
