subject,GA,h,input_type,scenario,nodes,tets,qbar,qmax,qstd,roughness_raw,roughness_final,displacement_mean,displacement_max
subject_GA21.86_left,21.86,0.4,raw,without_postsmoothing,198206,1120746,0.1282,0.4879,0.0662,,,,
subject_GA21.86_left,21.86,0.4,raw,with_postsmoothing,,,0.131859,0.499863,0.0685806,0.19143,0.13261,0.17563,0.46665
subject_GA21.86_left,21.86,0.4,smoothed,without_postsmoothing,194632,1101843,0.1284,0.5497,0.0665,,,,
subject_GA21.86_left,21.86,0.4,smoothed,with_postsmoothing,,,0.131991,0.534159,0.068964,0.19086,0.13022,0.17262,0.43387
subject_GA21.86_left,21.86,0.6,raw,without_postsmoothing,60233,331471,0.1288,0.4941,0.0668,,,,
subject_GA21.86_left,21.86,0.6,raw,with_postsmoothing,,,0.134566,0.498736,0.0699746,0.19653,0.14139,0.23644,0.75286
subject_GA21.86_left,21.86,0.6,smoothed,without_postsmoothing,59174,326083,0.1289,0.4621,0.0664,,,,
subject_GA21.86_left,21.86,0.6,smoothed,with_postsmoothing,,,0.134518,0.498058,0.0702515,0.19001,0.13164,0.23663,0.74194
subject_GA21.86_left,21.86,0.8,raw,without_postsmoothing,26292,140481,0.1288,0.4901,0.066,,,,
subject_GA21.86_left,21.86,0.8,raw,with_postsmoothing,,,0.137865,0.49555,0.0717188,0.20125,0.13847,0.32509,1.02497
subject_GA21.86_left,21.86,0.8,smoothed,without_postsmoothing,25722,137933,0.1297,0.4578,0.0665,,,,
subject_GA21.86_left,21.86,0.8,smoothed,with_postsmoothing,,,0.135407,0.49926,0.0698791,0.19332,0.13962,0.25844,0.72427
subject_GA28.00_left,28.0,0.4,raw,without_postsmoothing,462965,2631437,0.1284,0.5176,0.0665,,,,
subject_GA28.00_left,28.0,0.4,raw,with_postsmoothing,,,0.130966,0.499983,0.0683397,0.19307,0.13671,0.21327,0.4812
subject_GA28.00_left,28.0,0.4,smoothed,without_postsmoothing,458388,2612132,0.1284,0.5216,0.0665,,,,
subject_GA28.00_left,28.0,0.4,smoothed,with_postsmoothing,,,0.131578,0.499917,0.0686082,0.19126,0.13334,0.21681,0.45976
subject_GA28.00_left,28.0,0.6,raw,without_postsmoothing,140730,779837,0.1285,0.5141,0.0664,,,,
subject_GA28.00_left,28.0,0.6,raw,with_postsmoothing,,,0.134037,0.499995,0.069369,0.19889,0.14564,0.27443,0.66424
subject_GA28.00_left,28.0,0.6,smoothed,without_postsmoothing,139143,773954,0.1282,0.5036,0.0663,,,,
subject_GA28.00_left,28.0,0.6,smoothed,with_postsmoothing,,,0.133382,0.499735,0.0698656,0.19636,0.13857,0.27028,0.6995
subject_GA28.00_left,28.0,0.8,raw,without_postsmoothing,60855,328871,0.1289,0.4928,0.0664,,,,
subject_GA28.00_left,28.0,0.8,raw,with_postsmoothing,,,0.13465,0.499968,0.0698753,0.20402,0.14935,0.29915,0.74759
